,store,sido,gungu,store_address
0,가락2호,서울,송파구,서울 송파구 가락동 75-7(서울 송파구 양재대로 62길 35 다우빌딩 1층)
1,가산디지털,서울,금천구,서울 금천구 가산동 371-6 가산비지니스센터 2층(서울 금천구 가산디지털1로 165)
2,가양,서울,강서구,서울 강서구 등촌동 75-1(서울 강서구 양천로 482 삼부르네상스 109호)
3,강서구청,서울,강서구,서울 강서구 화곡6동 987-7(서울 강서구 화곡로 289)
4,강일,서울,강동구,서울 강동구 강일동 679-3 리슈빌오피스텔(서울 강동구 아리수로 419 리슈빌오피스텔)
5,개봉1호,서울,구로구,서울 구로구 개봉동 403-159(서울 구로구 개봉로 30-1)
6,개포1호,서울,강남구,서울 강남구 개포동 1229-18(서울 강남구 논현로16길 5)
7,거여가락1호,서울,송파구,서울 송파구 가락동 180-9(서울 송파구 문정로 143)
8,건대,서울,광진구,서울 광진구 화양동 9-18(서울 광진구 아차산로 31길 13)
9,경희대,서울,동대문구,서울 동대문구 회기동 42-16(서울 동대문구 경희대로3길 20)
10,고덕1호,서울,강동구,서울 강동구 고덕동 650-1(서울 강동구 고덕로61길 116)
11,고척1호,서울,구로구,서울 구로구 개봉1동 126-4(서울 구로구 고척로 129)
12,공릉1호,서울,노원구,서울 노원구 공릉동 338-6(서울 노원구 공릉로 35길 2)
13,공릉2호,서울,노원구,서울 노원구 공릉동 461-1(서울 노원구 공릉로 235)
14,광장,서울,광진구,서울 광진구 광장동 530-13(서울 광진구 광나루로 607(광장동))
15,구로2호,서울,구로구,서울 구로구 구로동 74-30(서울 구로구 구로중앙로 18길 68)
16,구로디지털,서울,구로구,서울 구로구 구로동 826-1(서울 구로구 디지털로 26길 110)
17,구산역,서울,은평구,서울 은평구 갈현2동 464-14(서울 은평구 연서로 157)
18,구의2호,서울,광진구,서울 광진구 구의동 229-43(서울 광진구 광나루로 544)
19,금호1호,서울,성동구,서울 성동구 금호동1가 1801-3(서울 성동구 금호로 62)
20,개포1호,서울,강남구,서울 강남구 개포동 1229-18(서울 강남구 논현로16길 5)
